Step Number,Energy per particle,Pressure
0, -0.0797623963743754, 0.007950274761399652
10000, -0.08050329571807908, 0.007580228807078972
20000, -0.07623285976565593, 0.008099288816866309
30000, -0.08738900765876015, 0.007791368203651836
40000, -0.080747252066637, 0.007727402269690077
50000, -0.08225020390432468, 0.008086861701379275
60000, -0.08132765977654645, 0.007369026939548409
70000, -0.0826647718021548, 0.00781339765979796
80000, -0.08464123594366255, 0.007636924930553408
90000, -0.08245268856733065, 0.007424565609780404
